pid  | slug | title
--------------------------------------------------------
 243 | /blog/imagenes-naturales-reales-vs-generadas-por-ia-por-que-gana-la-autenticidad | Imágenes naturales reales vs. generadas por IA: Por qué gana la autenticidad
 246 | /blog/la-regla-20-20-20-como-el-trabajo-con-pantallas-cansa-la-vista | La regla 20-20-20: Cómo el trabajo con pantallas cansa la vista
 248 | /blog/diseno-de-iluminacion-en-el-sector-sanitario-21-por-ciento-mejor-calidad-del-sueno | Diseño de iluminación en el sector sanitario: 21 por ciento mejor calidad del sueño
 250 | /blog/fractales-en-el-diseno-de-interiores-por-que-d-igual-a-1-3-a-1-5-resulta-relajante | Fractales en el diseño de interiores: Por qué D igual a 1,3 a 1,5 resulta relajante
 252 | /blog/100-megapixeles-vs-500-megapixeles-en-impresion-donde-se-hace-visible-la-diferencia | 100 megapíxeles vs. 500 megapíxeles en impresión: dónde se hace visible la diferencia
 254 | /blog/backlit-vs-impresion-directa-lo-que-la-ciencia-dice-sobre-las-paredes-de-imagen-retroiluminadas | Backlit vs. impresión directa: Lo que la ciencia dice sobre las paredes de imagen retroiluminadas
 256 | /blog/imagenes-aereas-gigapixel-fundamentos-tecnicos-y-aplicaciones | Imágenes aéreas gigapíxel: fundamentos técnicos y aplicaciones
 258 | /blog/evidence-based-selling-como-las-evidencias-cientificas-generan-exito-en-ventas | Evidence-Based Selling: Cómo las evidencias científicas generan éxito en ventas
 260 | /blog/roi-en-ferias-y-paredes-de-exposicion-como-las-imagenes-de-naturaleza-aumentan-el-exito-en-ferias | ROI en ferias y paredes de exposición: Cómo las imágenes de naturaleza aumentan el éxito en ferias
 262 | /blog/amenities-hospitalarias-como-las-imagenes-de-naturaleza-mejoran-mediblemente-la-satisfaccion-del-paciente | Amenities hospitalarias: cómo las imágenes de naturaleza mejoran mediblemente la satisfacción del paciente
 266 | /blog/el-punto-de-inflexion-arquitectonico-cuando-el-edificio-determina-el-espacio | El punto de inflexión arquitectónico: cuando el edificio determina el espacio
 269 | /blog/por-que-las-imagenes-de-stock-fracasan-en-los-paneles-de-feria-y-que-funciona-en-su-lugar | Por qué las imágenes de stock fracasan en los paneles de feria — y qué funciona en su lugar
 271 | /blog/healing-environment-con-gigapixel-por-que-las-imagenes-autenticas-de-naturaleza-funcionan-en-el-hospital | Healing Environment con Gigapixel: Por qué las imágenes auténticas de naturaleza funcionan en el hospital
 273 | /blog/gigapixel-vs-escalado-por-ia-por-que-los-pixeles-reales-ganan-en-la-observacion-cercana | Gigapixel vs. escalado por IA: Por qué los píxeles reales ganan en la observación cercana
 276 | /blog/que-resolucion-de-imagen-para-una-pared-de-10m2 | ¿Qué resolución de imagen para una pared de 10m²?
 278 | /blog/naturelux-paredes-de-luz-con-motivos | NatureLux® Paredes de luz con motivos
 280 | /blog/el-mito-de-los-dpi | El mito de los DPI
 282 | /blog/por-que-los-smartphones-no-tienen-realmente-48-megapixeles | Por qué los smartphones no tienen realmente 48 megapíxeles
 284 | /blog/el-limite-fisiologico-del-ojo-humano | El límite fisiológico del ojo humano
 286 | /blog/por-que-los-arquitectos-deberian-decidir-sobre-las-imagenes-con-antelacion | Por qué los arquitectos deberían decidir sobre las imágenes con antelación
 288 | /blog/como-el-entorno-visual-reduce-la-rotacion-de-personal | Cómo el entorno visual reduce la rotación de personal
 290 | /blog/estudios-de-eye-tracking-lo-que-los-observadores-realmente-ven | Estudios de eye-tracking: lo que los observadores realmente ven
 294 | /blog/sakura-y-la-ciencia-de-la-belleza-efimera | Sakura y la ciencia de la belleza efímera
 296 | /blog/fidelidad-cromatica-en-gran-formato-por-que-la-fotografia-gigapixel-preserva-lo-que-el-upscaling-destruye | Fidelidad cromática en gran formato: por qué la fotografía gigapíxel preserva lo que el upscaling destruye
